"go_aversr_horse=>history:17.5377, today:17.34",2019-02-24 00:40:57
"actual_wt=>history:125, today:127",2019-02-24 00:40:57
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:57
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:57
"go_aversr_horse=>history:16.8161, today:16.6289",2019-02-24 00:40:57
"act_delta=>history:-1, today:1",2019-02-24 00:40:57
"actual_wt=>history:123, today:125",2019-02-24 00:40:57
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:57
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:57
"go_aversr_horse=>history:17.2364, today:16.9716",2019-02-24 00:40:57
"act_delta=>history:0, today:2",2019-02-24 00:40:57
"actual_wt=>history:122, today:124",2019-02-24 00:40:57
"act_delta=>history:4, today:6",2019-02-24 00:40:57
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:57
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:57
"go_aversr_horse=>history:0.0, today:17.1125",2019-02-24 00:40:57
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:57
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:57
"go_aversr_horse=>history:16.6932, today:16.5422",2019-02-24 00:40:57
"actual_wt=>history:125, today:127",2019-02-24 00:40:57
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:57
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:57
"go_aversr_horse=>history:17.2961, today:17.0439",2019-02-24 00:40:57
"act_delta=>history:1, today:3",2019-02-24 00:40:57
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:57
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:57
"go_aversr_horse=>history:16.5121, today:16.4661",2019-02-24 00:40:57
"actual_wt=>history:124, today:127",2019-02-24 00:40:58
"act_delta=>history:-6, today:-3",2019-02-24 00:40:58
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:58
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:58
"go_aversr_horse=>history:16.958, today:16.6712",2019-02-24 00:40:58
"actual_wt=>history:119, today:121",2019-02-24 00:40:58
"act_delta=>history:-2, today:0",2019-02-24 00:40:58
"actual_wt=>history:120, today:127",2019-02-24 00:40:58
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:58
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:58
"go_aversr_horse=>history:17.2488, today:17.0086",2019-02-24 00:40:58
"act_delta=>history:3, today:10",2019-02-24 00:40:58
"actual_wt=>history:125, today:128",2019-02-24 00:40:58
"going=>history:GOODTOFIRM, today:GOOD TO FIRM",2019-02-24 00:40:58
"go_aversr=>history:16.7572, today:16.6776",2019-02-24 00:40:58
